iter	RMSE
0	15.56528659
1	14.26768191
2	13.12500508
3	12.11507779
4	11.17917126
5	10.38093587
6	9.655349132
7	9.007048322
8	8.432457061
9	7.932649552
10	7.514189381
11	7.142062753
12	6.805864716
13	6.532350565
14	6.284049977
15	6.077990611
16	5.899251288
17	5.747714468
18	5.620198635
19	5.50722553
20	5.412674767
21	5.331750293
22	5.270656338
23	5.21878265
24	5.176647399
25	5.131614762
26	5.099668904
27	5.074365317
28	5.048439846
29	5.029859135
30	5.010596582
31	5.000647024
32	4.990894542
33	4.980550778
34	4.964056641
35	4.957587423
36	4.942538711
37	4.933591388
38	4.927542408
39	4.922501823
40	4.916909752
41	4.913205833
42	4.902600567
43	4.898790831
44	4.893300914
45	4.891023283
46	4.886882445
47	4.881383773
48	4.877470835
49	4.871974547
50	4.864458133
51	4.860578059
52	4.855187532
53	4.848560658
54	4.846670783
55	4.841857497
56	4.838422493
57	4.831444941
58	4.822109374
59	4.818637274
60	4.813621699
61	4.808271253
62	4.80169971
63	4.797729162
64	4.796020234
65	4.794346905
66	4.791527803
67	4.788710682
68	4.782345617
69	4.7805517
70	4.777177932
71	4.771082451
72	4.770012799
73	4.768305082
74	4.761602147
75	4.75833292
76	4.75542476
77	4.753190203
78	4.749639933
79	4.745294099
80	4.743638131
81	4.742860688
82	4.738666039
83	4.737742262
84	4.730179362
85	4.727671758
86	4.723879844
87	4.720437817
88	4.719725728
89	4.716560778
90	4.714684144
91	4.712460371
92	4.707394731
93	4.701830095
94	4.69905759
95	4.696379035
96	4.691938395
97	4.688247484
98	4.684923176
99	4.680698693
100	4.67544504
101	4.672266464
102	4.669749474
103	4.664926203
104	4.661274389
105	4.657774708
106	4.649868657
107	4.6476764
108	4.645274233
109	4.64166207
110	4.637339801
111	4.631539103
112	4.630580612
113	4.628419784
114	4.624748071
115	4.622333325
116	4.620232968
117	4.619133606
118	4.615307937
119	4.612854722
120	4.611112375
121	4.606901128
122	4.60375353
123	4.600170213
124	4.599311054
125	4.595426639
126	4.59296199
127	4.590244364
128	4.583469937
129	4.582892034
130	4.582348664
131	4.580068237
132	4.579170958
133	4.578798279
134	4.573599708
135	4.569741417
136	4.566067575
137	4.563797722
138	4.558226303
139	4.553983612
140	4.548042261
141	4.544940344
142	4.54343549
143	4.539188586
144	4.532025722
145	4.527520664
146	4.52719439
147	4.526824383
148	4.523617108
149	4.521076788
150	4.51810083
151	4.51386253
152	4.507506732
153	4.506953132
154	4.50385821
155	4.501004976
156	4.498298704
157	4.496326981
158	4.493685924
159	4.490239278
160	4.486177806
161	4.485601162
162	4.479552495
163	4.474896781
164	4.470586772
165	4.467195602
