iter	Passed	Remaining
0	142	71192
1	145	36151
2	147	24392
3	149	18488
4	150	14927
5	152	12573
6	154	10887
7	156	9611
8	158	8623
9	160	7864
10	163	7256
11	165	6717
12	168	6320
13	170	5918
14	173	5600
15	177	5366
16	180	5117
17	182	4884
18	184	4665
19	186	4487
20	188	4309
21	190	4147
22	194	4029
23	196	3888
24	197	3759
25	201	3672
26	203	3559
27	206	3479
28	208	3381
29	210	3291
30	212	3210
31	214	3130
32	215	3054
33	219	3002
34	221	2936
35	222	2872
36	224	2811
37	226	2757
38	228	2700
39	230	2648
40	232	2600
41	234	2552
42	235	2507
43	238	2475
44	240	2435
45	242	2395
46	244	2359
47	246	2324
48	248	2289
49	250	2256
50	252	2225
51	254	2193
52	256	2161
53	258	2133
54	260	2104
55	261	2075
56	264	2054
57	266	2028
58	268	2003
59	269	1979
60	271	1956
61	273	1933
62	275	1913
63	278	1895
64	279	1873
65	281	1852
66	284	1836
67	286	1819
68	288	1800
69	290	1787
70	292	1769
71	294	1752
72	297	1737
73	298	1721
74	300	1703
75	303	1692
76	305	1675
77	307	1661
78	308	1645
79	310	1631
80	312	1616
81	314	1602
82	316	1592
83	318	1578
84	320	1565
85	322	1553
86	324	1540
87	326	1527
88	328	1515
89	330	1504
90	332	1494
91	335	1489
92	338	1482
93	341	1475
94	344	1469
95	346	1458
96	348	1449
97	350	1437
98	352	1426
99	355	1420
100	357	1410
101	358	1400
102	361	1392
103	363	1385
104	365	1375
105	368	1368
106	370	1359
107	371	1349
108	373	1340
109	375	1331
110	377	1322
111	379	1313
112	380	1304
113	382	1295
114	384	1288
115	387	1282
116	390	1277
117	391	1268
118	395	1266
119	397	1258
120	399	1252
121	402	1246
122	404	1238
123	407	1234
124	410	1230
125	412	1223
126	414	1216
127	416	1211
128	418	1203
129	420	1195
130	421	1188
131	423	1180
132	425	1173
133	426	1165
134	428	1158
135	430	1151
136	432	1144
137	433	1138
138	435	1131
139	437	1125
140	439	1119
141	441	1112
142	445	1111
143	447	1105
144	448	1099
145	451	1093
146	453	1088
147	454	1081
148	458	1079
149	460	1075
150	462	1069
151	466	1067
152	467	1061
153	469	1055
154	471	1049
155	473	1043
156	474	1037
157	476	1031
158	478	1025
159	480	1021
160	482	1015
161	484	1011
162	486	1006
163	489	1001
164	492	999
165	494	994
166	496	989
167	498	984
168	499	979
169	501	973
170	503	968
171	505	964
172	507	958
173	510	956
174	512	951
175	514	947
176	516	943
177	518	938
178	520	933
179	522	928
180	524	924
181	526	919
182	528	914
183	530	911
184	532	906
185	534	901
186	537	898
187	539	894
188	540	890
189	544	887
190	545	883
191	547	878
192	550	876
193	552	872
194	556	869
195	558	865
196	559	861
197	561	856
198	563	852
199	565	847
200	567	844
201	570	841
202	572	837
203	574	833
204	576	830
205	578	825
206	581	822
207	583	819
208	586	816
209	589	814
210	591	810
211	594	807
212	596	803
213	597	799
214	599	794
215	601	791
216	603	787
217	605	783
218	607	780
219	610	776
220	612	772
221	614	768
222	615	764
223	617	760
224	619	756
225	622	754
226	624	750
227	626	746
228	628	743
229	631	741
230	633	738
231	635	734
232	637	731
233	640	727
234	641	723
235	643	719
236	646	717
237	648	713
238	649	709
239	652	707
240	654	703
